,a_name,a_address,a_rating,a_review_num,a_website,a_types,a_lat,a_long
0,Indianapolis Zoo,"1200 W Washington St, Indianapolis, IN 46222, United States",4.5,16731,http://www.indianapoliszoo.com/,"['zoo', 'tourist_attraction', 'aquarium', 'point_of_interest', 'establishment']",39.7675746,-86.1796262
1,The Children's Museum of Indianapolis,"3000 N Meridian St, Indianapolis, IN 46208, United States",4.7,13122,https://www.childrensmuseum.org/,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",39.8106132,-86.1578917
2,White River State Park,"801 W Washington St, Indianapolis, IN 46204, United States",4.7,4461,https://www.whiteriverstatepark.org/,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",39.7665464,-86.17078579999999
3,Eiteljorg Museum,"500 W Washington St, Indianapolis, IN 46204, United States",4.6,1657,http://www.eiteljorg.org/,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",39.7685754,-86.16779149999999
4,Eagle Creek Park,"7840 W 56th St, Indianapolis, IN 46254, United States",4.7,4726,https://www.indy.gov/activity/about-eagle-creek-park,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",39.873789,-86.29620299999999
5,Indianapolis Motor Speedway Museum,"4750 W 16th St, Indianapolis, IN 46222, United States",4.8,2997,https://www.imsmuseum.org/,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",39.79031459999999,-86.23366109999999
6,Indiana State Museum,"650 W Washington St, Indianapolis, IN 46204, United States",4.6,3337,http://www.indianamuseum.org/,"['museum', 'tourist_attraction', 'point_of_interest', 'store', 'establishment']",39.7683919,-86.1695013
7,Newfields,"4000 N Michigan Rd, Indianapolis, IN 46208, United States",4.7,4709,https://www.discovernewfields.org/,"['museum', 'park', 'point_of_interest', 'establishment']",39.82596059999999,-86.1856632
8,Indiana War Memorial & Museum,"55 E Michigan St, Indianapolis, IN 46204, United States",4.7,2372,https://www.indianawarmemorials.org/,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",39.7733607,-86.15695079999999
9,Rhythm! Discovery Center,"Claypool Court Building, 110 W Washington St A, Indianapolis, IN 46204, United States",4.7,284,http://rhythmdiscoverycenter.org/,"['museum', 'tourist_attraction', 'electronics_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",39.767311,-86.16007429999999
10,Oldfields–Lilly House & Gardens,"4000 N Michigan Rd, Indianapolis, IN 46208, United States",4.8,534,http://www.imamuseum.org/visit/oldfields-lilly-house-gardens/lilly-house,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",39.8283758,-86.1854796
11,Holliday Park,"6363 Spring Mill Rd, Indianapolis, IN 46260, United States",4.8,3040,https://www.hollidaypark.org/,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",39.8708933,-86.1634943
12,Catacombs,"222 E Market St, Indianapolis, IN 46204, United States",3.8,79,https://www.indianalandmarks.org/tours-events/ongoing-tours-events/city-market-catacombs-tour/,"['tourist_attraction', 'point_of_interest', 'establishment']",39.7687329,-86.1534198
13,Indiana Medical History Museum,"3270 Kirkbride Way, Indianapolis, IN 46222, United States",4.7,395,http://www.imhm.org/,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",39.7698762,-86.2132931
14,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities","9998 E 121st St, Fishers, IN 46037, United States",4.4,1122,https://k1speed.com/indianapolis-location.html?utm_campaign=gbl_indy&utm_source=google&utm_medium=directory,"['tourist_attraction', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",39.966604,-85.9908485
15,Garfield Park,"2345 Pagoda Dr, Indianapolis, IN 46203, United States",4.6,3099,http://funfinder.indy.gov/#/details/134,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",39.7343138,-86.1484095
16,Fort Harrison State Park,"6000 N Post Rd, Indianapolis, IN 46216, United States",4.7,4455,http://on.in.gov/fortharrisonsp,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",39.8683896,-86.01934399999999
17,The Indianapolis Cultural Trail,"132 W Walnut St, Indianapolis, IN 46204, United States",4.8,40,http://indyculturaltrail.org/,"['tourist_attraction', 'point_of_interest', 'establishment']",39.7770607,-86.16096929999999
18,Soldiers & Sailors Monument,"1 Monument Cir, Indianapolis, IN 46204, United States",4.7,8029,http://www.in.gov/iwm,"['tourist_attraction', 'point_of_interest', 'establishment']",39.7685426,-86.1580439
19,Benjamin Harrison Presidential Site,"1230 N Delaware St, Indianapolis, IN 46202, United States",4.7,397,http://www.presidentbenjaminharrison.org/,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",39.7840704,-86.1545781
