,r_name,r_address,r_rating,r_review_num,r_website,r_types,r_lat,r_long
0,Harry & Izzy's,"153 S Illinois St, Indianapolis, IN 46225, United States",4.7,2963,http://www.harryandizzys.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.764575,-86.15966
1,Mesh - Indianapolis,"725 Massachusetts Ave, Indianapolis, IN 46204, United States",4.4,1276,https://www.meshrestaurants.com/#loc3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7767749,-86.14624719999999
2,Livery - Indianapolis,"720 N College Ave, Indianapolis, IN 46202, United States",4.7,1756,http://www.livery-restaurant.com/,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7766517,-86.1454802
3,The Eagle,"310 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,3531,http://www.eaglerestaurant.com/,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7718129,-86.1539722
4,Tony's of Indianapolis,"110 W Washington St, Indianapolis, IN 46204, United States",4.7,682,https://www.tonysofindianapolis.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.7673198,-86.1607439
5,Union 50,"620 N East St, Indianapolis, IN 46202, United States",4.6,1331,http://www.union-50.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.7760854,-86.1489035
6,Root & Bone - Indianapolis,"4601 N College Ave, Indianapolis, IN 46205, United States",4.5,547,https://www.rootnboneindy.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.83973719999999,-86.1447992
7,Fogo de Chão Brazilian Steakhouse,"117 E Washington St, Indianapolis, IN 46204, United States",4.6,6236,http://www.fogo.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.766715,-86.1554682
8,Nada,"11 W Maryland St, Indianapolis, IN 46204, United States",4.4,2182,http://eatdrinknada.com/,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7654668,-86.1586887
9,Iozzo's Garden of Italy,"946 S Meridian St, Indianapolis, IN 46225, United States",4.6,1389,http://iozzos.com/,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7542376,-86.1593779
10,Prime 47- Indy's Steakhouse,"47 S Pennsylvania St, Indianapolis, IN 46204, United States",4.6,772,https://www.steakhouseindianapolis.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.76584,-86.15608999999999
11,Yard House,"15 W Maryland St, Indianapolis, IN 46204, United States",4.4,2766,https://www.yardhouse.com/locations/in/indianapolis/indianapolis-circle-centre/8360?cmpid=br:yh_ag:ie_ch:dry_ca:YHGMB_sn:gmb_gt:indianapolis-in-8360_pl:locurl_rd:1057,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7653282,-86.1591399
12,Bluebeard,"653 Virginia Ave, Indianapolis, IN 46203, United States",4.6,1526,http://www.bluebeardindy.com/,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7575355,-86.14573600000001
13,The Oceanaire Seafood Room,"30 S Meridian St, Indianapolis, IN 46204, United States",4.5,1139,https://www.theoceanaire.com/location/indianapolis-in/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.7660688,-86.15831209999999
14,The Capital Grille,"40 W Washington St, Indianapolis, IN 46204, United States",4.6,941,https://www.thecapitalgrille.com/locations/in/indianapolis/indianapolis/8032?cmpid=br:tcg_ag:ie_ch:dry_ca:TCGGMB_sn:gmb_gt:indianapolis-in-8032_pl:locurl_rd:1028,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7674064,-86.159195
15,Vida,"601 E New York St, Indianapolis, IN 46202, United States",4.8,723,http://www.vida-restaurant.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.77094779999999,-86.1469932
16,Conner's Kitchen + Bar,"350 W Maryland St, Indianapolis, IN 46225, United States",4.5,1385,https://www.connersindy.com/?scid=45f93f1b-bd77-45c9-8dab-83b6a417f6fe%2F%3Fscid%3Dbb1a189a-fec3-4d19-a255-54ba596febe2&y_source=1_OTI5NTkzNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",39.7659612,-86.1645707
17,Harry & Izzy's,"4050 E 82nd St, Indianapolis, IN 46250, United States",4.6,1713,http://www.harryandizzys.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.9081893,-86.0956215
18,Bazbeaux,"333 Massachusetts Ave, Indianapolis, IN 46204, United States",4.5,2038,http://www.bazbeaux.com/,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.7716352,-86.15345909999999
19,Mama Carolla's,"1031 E 54th St, Indianapolis, IN 46220, United States",4.7,1897,http://www.mamacarollas.com/,"['restaurant', 'food', 'point_of_interest', 'establishment']",39.85086,-86.140849
